engine_size,fuel_type,avg_speed,max_speed,avg_acceleration,trip_distance,trip_duration,speed_ratio,idle_ratio,speed_squared,fuel_used
2.834,1,89.0,130.0,4.13,65.56,52.05,1.46,0.151,7.92,9.37
1.332,1,18.4,43.4,5.45,51.02,177.93,2.36,0.065,0.34,5.15
2.397,1,90.7,212.4,4.79,51.72,32.23,2.34,0.0,8.23,9.09
2.777,1,64.6,71.9,1.06,53.42,44.78,1.11,0.0,4.17,3.98
2.007,1,72.3,145.5,1.73,57.26,48.4,2.01,0.018,5.23,4.44
2.442,1,68.5,156.8,4.12,45.9,38.07,2.29,0.0,4.69,4.92
1.383,1,32.0,78.8,2.66,71.47,162.89,2.46,0.177,1.02,5.41
1.906,1,61.9,110.8,1.57,58.07,58.56,1.79,0.039,3.83,3.23
2.22,1,25.9,62.6,5.75,73.27,184.18,2.42,0.078,0.67,9.84
2.842,1,48.5,119.0,5.8,68.39,88.6,2.45,0.045,2.35,10.07
2.673,1,38.5,51.5,3.56,74.96,145.79,1.34,0.199,1.48,10.5
1.014,1,65.4,162.6,1.27,41.95,51.52,2.49,0.253,4.28,1.51
2.333,1,73.2,117.4,2.11,64.94,69.47,1.6,0.234,5.36,6.74
2.809,1,56.0,100.9,4.89,52.35,70.17,1.8,0.201,3.14,7.39
2.758,1,40.4,65.7,1.02,46.68,63.64,1.63,0.0,1.63,3.87
1.994,1,35.8,69.0,0.67,3.95,8.68,1.93,0.237,1.28,0.29
1.08,1,57.0,124.1,1.69,50.21,49.82,2.18,0.0,3.25,1.67
1.969,1,58.7,117.0,4.49,78.09,92.44,1.99,0.137,3.45,6.76
2.549,1,34.4,59.0,0.93,3.0,7.23,1.72,0.276,1.18,0.32
2.331,1,46.8,62.8,1.36,20.77,31.28,1.34,0.149,2.19,1.58
2.252,1,35.2,85.8,4.56,44.79,92.06,2.44,0.171,1.24,6.12
1.345,1,42.0,90.8,0.58,10.17,13.41,2.16,0.0,1.76,0.36
2.682,1,73.3,129.3,1.04,39.84,37.07,1.76,0.12,5.37,3.56
1.754,1,45.9,90.1,3.99,4.58,6.51,1.96,0.08,2.11,0.36
1.907,1,87.1,176.1,1.4,6.57,5.53,2.02,0.182,7.59,0.43
2.089,1,94.6,180.3,2.63,51.82,37.11,1.91,0.114,8.95,6.81
2.871,1,44.7,109.3,5.48,16.47,20.66,2.45,0.0,2.0,2.22
0.84,1,18.5,38.0,0.89,26.2,112.37,2.05,0.244,0.34,0.92
2.592,1,35.4,44.8,4.33,50.69,115.02,1.27,0.253,1.25,7.67
2.568,1,35.4,47.7,4.63,64.74,153.1,1.35,0.283,1.25,9.31
1.618,1,79.9,126.0,5.62,68.81,57.59,1.58,0.103,6.38,6.81
2.46,1,19.3,45.6,3.28,66.29,218.45,2.36,0.057,0.37,11.45
1.656,1,11.0,26.0,1.0,26.23,196.73,2.36,0.273,0.12,2.35
2.062,1,66.9,115.6,2.11,26.96,29.89,1.73,0.191,4.48,2.07
2.541,1,81.1,99.6,3.22,5.55,4.82,1.23,0.148,6.58,0.62
2.753,1,41.6,52.6,1.29,61.16,106.66,1.26,0.173,1.73,4.65
0.985,1,73.1,87.9,5.02,56.79,43.85,1.2,0.0,5.34,2.68
2.971,1,43.7,70.7,4.97,75.83,145.03,1.62,0.282,1.91,11.13
1.628,1,17.5,38.3,3.57,34.51,160.11,2.19,0.261,0.31,3.32
1.884,1,11.0,19.3,0.81,10.39,54.34,1.75,0.0,0.12,0.92
2.441,1,62.5,152.9,2.56,23.57,30.19,2.45,0.251,3.91,2.1
2.919,1,11.1,27.3,0.74,71.4,449.18,2.46,0.141,0.12,11.08
0.962,1,59.8,146.9,3.38,50.72,63.5,2.46,0.199,3.58,2.06
2.181,1,62.6,147.8,0.75,23.2,30.58,2.36,0.273,3.92,1.71
1.802,1,65.8,97.9,1.53,37.63,36.94,1.49,0.071,4.33,2.22
0.971,1,97.7,242.4,4.34,43.35,28.08,2.48,0.052,9.55,3.5
2.306,1,24.6,58.4,5.02,76.03,234.18,2.37,0.208,0.61,11.55
1.72,1,93.9,217.1,0.75,3.08,2.14,2.31,0.08,8.82,0.29
2.972,1,23.5,45.4,2.59,77.62,261.81,1.93,0.243,0.55,12.16
1.831,1,47.3,70.1,0.81,69.31,114.86,1.48,0.235,2.24,4.14
2.993,1,60.0,130.6,5.7,68.12,69.73,2.18,0.023,3.6,10.43
1.084,1,95.9,186.9,1.76,54.06,40.89,1.95,0.173,9.2,3.19
1.05,1,70.4,128.7,4.75,42.09,47.57,1.83,0.246,4.96,2.44
2.034,1,88.9,148.0,1.24,3.27,2.82,1.66,0.217,7.9,0.25
2.349,1,29.2,37.7,0.58,28.7,70.47,1.29,0.163,0.85,2.36
1.762,1,91.4,145.1,3.33,62.91,45.36,1.59,0.09,8.35,7.46
2.697,1,95.5,124.7,5.6,39.88,25.79,1.31,0.028,9.12,8.41
2.956,1,54.3,84.7,3.98,19.97,20.7,1.56,0.0,2.95,2.27
1.082,1,23.7,30.7,4.02,15.37,41.75,1.3,0.068,0.56,0.98
1.843,1,70.1,94.0,1.56,4.23,3.56,1.34,0.0,4.91,0.28
1.189,1,18.0,22.8,3.03,17.3,62.4,1.27,0.076,0.32,1.18
2.319,1,13.5,30.0,3.95,7.46,44.32,2.22,0.252,0.18,1.29
0.934,1,34.9,77.8,4.62,15.58,26.91,2.23,0.005,1.22,0.86
1.866,1,65.6,106.0,3.04,60.05,50.44,1.62,0.0,4.3,4.07
2.369,1,90.6,164.6,3.43,9.47,7.05,1.82,0.11,8.21,1.52
1.333,1,34.2,55.7,0.61,26.44,46.65,1.63,0.006,1.17,1.25
1.063,1,90.1,174.0,4.24,63.34,48.47,1.93,0.13,8.12,4.46
1.982,1,62.8,134.6,2.87,11.08,11.03,2.14,0.04,3.94,0.84
2.221,1,61.4,98.2,5.93,48.86,48.63,1.6,0.018,3.77,4.95
1.136,1,32.1,42.5,1.53,23.52,43.38,1.32,0.0,1.03,1.2
0.977,1,57.2,95.8,5.9,9.85,11.35,1.67,0.09,3.27,0.54
2.704,1,83.5,122.0,1.44,53.82,52.78,1.46,0.267,6.97,5.49
2.058,1,35.2,76.6,1.53,26.57,50.39,2.18,0.101,1.24,2.4
1.333,1,20.3,39.7,2.09,46.92,135.52,1.96,0.0,0.41,2.87
1.972,1,14.7,23.1,1.24,6.01,34.22,1.57,0.283,0.22,0.54
2.582,1,32.9,67.6,4.68,48.06,99.55,2.05,0.12,1.08,7.38
1.568,1,93.7,212.0,5.81,10.82,8.77,2.26,0.21,8.78,1.62
1.199,1,16.0,34.2,3.66,67.5,245.5,2.14,0.0,0.26,5.68
1.244,1,24.7,32.9,4.98,53.55,151.09,1.33,0.139,0.61,3.79
2.73,1,45.3,101.6,2.92,30.78,46.12,2.24,0.116,2.05,3.2
2.445,1,55.2,78.7,5.45,31.33,39.9,1.43,0.147,3.05,4.02
2.173,1,20.5,49.5,3.95,27.46,77.93,2.41,0.0,0.42,3.72
2.164,1,58.0,136.4,4.84,12.98,14.18,2.35,0.053,3.36,1.29
2.437,1,13.0,24.7,4.69,70.26,347.31,1.9,0.066,0.17,13.09
1.043,1,86.2,110.2,2.69,63.99,43.43,1.28,0.0,7.43,2.65
2.389,1,74.8,149.4,4.32,43.88,36.11,2.0,0.025,5.6,5.37
1.2,1,91.8,176.0,2.7,37.5,33.67,1.92,0.272,8.43,2.59
2.09,1,55.5,108.6,0.6,69.9,103.23,1.96,0.268,3.08,4.35
2.333,1,93.0,194.4,1.34,46.53,36.12,2.09,0.169,8.65,5.76
2.42,1,94.1,225.4,2.98,9.95,8.83,2.4,0.282,8.85,1.75
1.074,1,92.9,215.3,3.35,47.71,33.88,2.32,0.091,8.63,3.17
1.537,1,82.3,91.1,2.33,32.46,27.66,1.11,0.144,6.77,2.21
1.562,1,41.2,87.9,2.99,18.74,30.74,2.13,0.112,1.7,1.07
1.188,1,54.9,92.6,5.53,29.63,38.54,1.69,0.16,3.01,1.78
0.829,1,69.7,94.0,5.79,12.74,12.14,1.35,0.097,4.86,0.46
2.993,1,55.2,106.7,0.87,60.25,65.81,1.93,0.005,3.05,6.01
1.251,1,27.2,31.3,3.1,45.62,93.88,1.15,0.0,0.74,2.95
1.797,1,57.2,98.2,2.7,45.21,46.36,1.72,0.0,3.27,2.81
2.696,1,95.2,154.5,1.99,51.88,36.11,1.62,0.095,9.06,7.0
1.144,1,74.4,150.5,0.65,18.54,15.18,2.02,0.015,5.54,0.77
0.843,1,19.4,43.1,1.48,52.57,165.69,2.22,0.019,0.38,2.07
1.335,1,75.0,172.3,5.07,32.38,31.97,2.3,0.19,5.62,2.34
1.445,1,90.7,101.4,0.97,17.42,10.52,1.12,0.0,8.23,1.11
2.083,1,47.9,112.6,5.0,28.0,36.12,2.35,0.029,2.29,2.8
2.099,1,34.1,67.3,2.75,44.61,87.76,1.97,0.106,1.16,4.43
2.887,1,78.7,102.0,5.28,39.51,40.58,1.3,0.258,6.19,6.7
1.735,1,12.0,17.7,3.48,51.04,262.59,1.47,0.028,0.14,4.94
2.637,1,98.6,181.0,1.44,22.51,12.45,1.84,0.0,9.72,3.5
1.059,1,61.9,91.8,3.55,52.46,66.86,1.48,0.239,3.83,2.08
0.824,1,22.3,52.6,5.31,48.2,155.66,2.36,0.167,0.5,2.71
1.186,1,92.3,155.6,2.61,41.99,25.21,1.69,0.0,8.52,2.79
2.424,1,17.5,34.0,1.85,31.75,113.68,1.94,0.042,0.31,3.93
2.382,1,36.7,69.5,3.12,53.43,119.53,1.89,0.269,1.35,6.92
1.273,1,12.8,18.8,3.77,5.06,27.23,1.47,0.129,0.16,0.41
1.535,1,79.4,99.2,0.91,58.53,50.76,1.25,0.129,6.3,3.2
1.757,1,32.2,72.3,4.9,55.88,107.88,2.25,0.035,1.04,6.3
1.594,1,18.2,43.4,1.25,76.07,281.63,2.38,0.11,0.33,5.68
1.992,1,88.6,188.3,4.94,53.04,44.76,2.13,0.198,7.85,6.51
1.349,1,54.0,76.1,5.93,75.58,77.24,1.41,0.0,2.92,5.31
2.836,1,26.3,49.8,5.54,3.68,10.48,1.89,0.199,0.69,0.64
2.834,1,97.4,235.9,3.11,69.1,56.28,2.42,0.244,9.49,12.76
2.624,1,13.3,25.7,1.77,10.52,44.54,1.93,0.0,0.18,1.51
1.548,1,75.2,89.6,2.23,43.62,45.08,1.19,0.228,5.66,2.59
2.177,1,89.7,176.0,1.78,2.93,2.62,1.96,0.252,8.05,0.23
2.724,1,57.6,139.1,4.89,79.84,89.43,2.41,0.07,3.32,11.37
1.684,1,53.2,105.3,5.31,78.74,114.04,1.98,0.221,2.83,6.41
1.727,1,76.4,109.6,1.11,29.02,23.78,1.43,0.042,5.84,1.69
1.314,1,13.8,15.5,5.93,34.79,165.2,1.12,0.084,0.19,3.54
1.28,1,95.5,210.2,0.99,33.99,28.61,2.2,0.254,9.12,2.5
1.828,1,65.2,87.0,5.95,19.3,24.36,1.33,0.271,4.25,1.81
2.137,1,56.1,79.8,1.47,18.42,19.57,1.42,0.0,3.15,1.33
1.57,1,15.2,37.3,5.36,74.29,409.8,2.45,0.284,0.23,8.44
1.672,1,78.2,162.2,1.35,65.45,50.83,2.07,0.012,6.12,3.94
1.981,1,63.4,121.2,1.0,70.32,68.73,1.91,0.032,4.02,3.92
2.755,1,96.0,221.5,4.95,52.76,38.76,2.31,0.149,9.22,10.57
1.699,1,43.5,63.7,4.48,40.17,52.11,1.46,0.0,1.89,2.8
2.303,1,16.9,38.7,3.22,38.97,165.5,2.29,0.164,0.29,6.13
1.565,1,71.0,134.3,1.97,70.41,77.28,1.89,0.23,5.04,4.7
2.671,1,88.1,184.3,5.1,56.1,47.38,2.09,0.194,7.76,8.86
2.456,1,24.3,56.7,5.3,3.31,10.73,2.33,0.238,0.59,0.49
1.537,1,76.9,101.9,5.0,66.74,60.08,1.33,0.133,5.91,4.85
1.431,1,65.5,162.0,3.97,21.52,23.99,2.47,0.178,4.29,1.41
2.516,1,19.6,42.4,3.48,77.08,252.7,2.16,0.066,0.38,12.9
2.85,1,19.2,46.3,4.28,6.36,20.88,2.41,0.048,0.37,1.35
0.948,1,62.4,98.9,3.92,4.61,5.92,1.58,0.251,3.89,0.2
2.932,1,77.5,99.4,4.67,2.94,2.07,1.28,0.0,6.01,0.43
1.875,1,79.3,163.1,2.95,22.62,23.94,2.06,0.285,6.29,1.94
1.793,1,24.7,54.7,4.32,18.44,42.16,2.21,0.0,0.61,2.05
2.24,1,34.6,84.1,1.33,35.15,83.62,2.43,0.271,1.2,3.36
2.205,1,45.8,68.0,5.91,33.34,58.83,1.48,0.258,2.1,3.43
1.269,1,12.8,25.8,2.53,69.28,369.11,2.02,0.12,0.16,5.63
1.208,1,88.2,192.9,4.74,67.74,59.01,2.19,0.219,7.78,4.73
1.089,1,12.9,30.8,3.89,63.93,339.2,2.39,0.123,0.17,4.32
1.075,1,71.7,122.1,1.6,39.84,31.08,1.7,0.0,5.14,1.69
1.392,1,81.8,125.5,3.0,1.92,1.32,1.53,0.0,6.69,0.12
1.856,1,64.0,96.5,4.32,68.95,83.38,1.51,0.225,4.1,4.95
1.857,1,19.4,27.9,5.93,12.26,43.58,1.44,0.13,0.38,1.78
2.345,1,60.4,67.3,2.3,41.9,39.29,1.11,0.0,3.65,3.23
0.873,1,17.1,28.3,1.23,45.84,200.21,1.65,0.197,0.29,2.05
1.24,1,25.1,31.3,4.0,56.81,124.37,1.25,0.0,0.63,4.16
0.914,1,58.7,122.8,5.29,57.41,76.34,2.09,0.231,3.45,2.51
2.593,1,17.2,40.5,3.51,65.57,257.59,2.35,0.112,0.3,11.54
1.958,1,75.8,92.0,0.83,20.52,15.91,1.21,0.0,5.75,1.47
1.282,1,97.8,153.7,1.5,63.39,47.81,1.57,0.187,9.56,4.3
2.022,1,74.7,106.1,5.98,78.01,76.77,1.42,0.184,5.58,8.6
2.297,1,16.5,18.9,1.92,37.55,182.17,1.15,0.25,0.27,4.55
2.434,1,48.3,76.5,2.54,79.02,90.31,1.58,0.0,2.33,7.63
2.073,1,49.5,104.7,3.18,70.0,114.58,2.12,0.259,2.45,5.8
1.409,1,63.3,150.5,1.66,50.21,57.86,2.38,0.177,4.01,2.61
1.089,1,74.4,176.5,1.49,19.77,22.09,2.37,0.278,5.54,0.8
2.68,1,54.3,78.5,5.29,36.18,46.27,1.45,0.136,2.95,4.42
2.104,1,24.7,40.7,5.83,21.39,63.83,1.65,0.186,0.61,2.8
2.502,1,21.8,53.6,3.0,19.65,50.66,2.46,0.0,0.48,2.4
1.944,1,40.3,91.1,2.87,20.65,37.16,2.26,0.173,1.62,1.68
1.167,1,25.1,28.9,4.55,53.44,145.29,1.15,0.121,0.63,3.77
2.572,1,62.7,145.2,1.63,9.84,9.74,2.32,0.033,3.93,0.78
1.969,1,94.3,108.9,1.17,36.72,31.94,1.15,0.269,8.89,3.39
1.916,1,13.7,17.9,5.93,77.24,305.29,1.31,0.0,0.19,12.36
2.206,1,88.1,153.0,3.34,39.62,33.28,1.74,0.189,7.76,3.78
0.866,1,37.7,78.7,1.61,54.2,119.47,2.09,0.278,1.42,1.86
2.28,1,49.9,115.5,1.47,55.72,88.37,2.31,0.242,2.49,4.77
2.303,1,54.7,107.5,5.28,46.08,46.26,1.97,0.0,2.99,5.75
2.317,1,70.9,99.4,4.12,32.12,33.31,1.4,0.184,5.03,3.36
2.247,1,99.9,116.6,5.87,33.15,26.59,1.17,0.251,9.98,6.35
2.047,1,76.5,178.2,2.72,26.84,25.97,2.33,0.189,5.85,2.73
2.477,1,81.8,139.9,5.0,10.5,9.03,1.71,0.147,6.69,1.27
1.514,1,43.0,71.1,4.33,31.7,49.73,1.65,0.111,1.85,1.98
1.621,1,30.5,36.7,3.82,53.79,128.01,1.2,0.173,0.93,4.52
1.636,1,87.7,160.2,3.14,3.03,2.22,1.83,0.066,7.69,0.22
1.677,1,62.2,114.9,3.84,61.43,77.42,1.85,0.235,3.87,4.62
2.902,1,11.6,15.9,0.54,52.15,363.89,1.37,0.259,0.13,6.03
2.839,1,15.4,37.1,2.43,9.01,40.12,2.41,0.125,0.24,1.41
1.427,1,37.7,83.9,3.47,25.59,49.08,2.23,0.17,1.42,2.1
1.4,1,47.2,60.0,1.5,54.81,69.03,1.27,0.0,2.23,2.42
2.36,1,19.6,37.1,1.91,77.07,269.38,1.89,0.124,0.38,10.36
2.01,1,13.9,27.6,5.73,48.53,274.34,1.99,0.236,0.19,8.33
1.302,1,29.1,56.9,2.76,67.35,187.47,1.96,0.259,0.85,4.21
1.321,1,80.2,119.1,5.02,34.48,31.83,1.49,0.19,6.43,2.24
2.172,1,50.7,97.4,1.42,59.21,93.29,1.92,0.249,2.57,3.92
1.011,1,12.1,24.2,3.84,44.19,222.62,2.0,0.016,0.15,2.87
2.108,1,54.7,135.8,1.25,55.92,67.6,2.48,0.093,2.99,3.87
2.379,1,72.3,179.9,1.21,9.22,9.66,2.49,0.208,5.23,0.87
1.403,1,17.1,20.9,5.42,16.16,60.2,1.22,0.058,0.29,1.52
1.581,1,16.2,29.6,0.87,64.23,241.9,1.83,0.017,0.26,4.73
2.736,1,68.6,126.6,2.28,27.31,29.49,1.85,0.19,4.71,3.02
2.256,1,60.2,127.8,3.06,5.75,6.77,2.12,0.153,3.62,0.58
1.186,1,72.1,99.6,3.45,8.64,8.09,1.38,0.111,5.2,0.51
1.565,1,69.8,154.5,5.6,19.54,18.47,2.21,0.091,4.87,1.44
2.983,1,93.4,173.3,5.13,42.16,32.82,1.86,0.175,8.72,8.98
2.462,1,21.5,48.5,4.8,56.99,146.01,2.26,0.0,0.46,8.33
1.379,1,42.4,51.8,5.65,44.75,66.67,1.22,0.05,1.8,2.88
1.784,1,64.1,116.8,5.56,40.26,52.61,1.82,0.284,4.11,3.88
1.259,1,93.8,118.5,5.0,31.07,26.61,1.26,0.253,8.8,3.18
2.573,1,81.1,123.8,0.95,32.84,23.97,1.53,0.0,6.58,3.1
1.561,1,97.8,195.3,5.02,11.47,9.37,2.0,0.249,9.56,1.56
1.872,1,64.6,140.2,1.46,40.7,41.56,2.17,0.09,4.17,2.34
1.609,1,16.1,18.3,1.24,77.09,337.5,1.14,0.149,0.26,6.33
1.751,1,38.1,68.9,2.92,9.35,17.97,1.81,0.181,1.45,0.76
2.163,1,68.5,89.9,0.84,62.68,62.03,1.31,0.115,4.69,3.49
2.989,1,15.2,31.5,5.91,19.9,76.28,2.07,0.0,0.23,4.32
1.467,1,19.1,39.5,0.84,41.24,181.16,2.07,0.285,0.36,3.04
2.153,1,37.6,74.2,3.4,34.66,53.39,1.97,0.0,1.41,4.35
1.79,1,27.5,44.4,2.78,66.38,183.47,1.61,0.211,0.76,6.14
0.824,1,47.5,84.3,0.61,21.53,34.81,1.77,0.219,2.26,0.47
1.978,1,29.4,32.8,1.83,78.09,207.3,1.12,0.231,0.86,7.16
1.873,1,19.9,37.2,3.0,67.7,193.72,1.87,0.0,0.4,7.58
1.13,1,39.2,83.6,3.12,30.7,51.56,2.13,0.089,1.54,1.8
2.527,1,90.3,220.1,4.83,25.92,21.43,2.44,0.196,8.15,5.2
1.36,1,85.7,98.9,5.46,37.46,31.96,1.15,0.179,7.34,2.91
2.769,1,67.3,131.9,0.87,41.95,36.47,1.96,0.0,4.53,3.74
1.927,1,71.2,82.5,0.97,57.59,45.43,1.16,0.0,5.07,3.39
0.827,1,96.1,204.9,2.44,24.43,16.39,2.13,0.069,9.24,1.33
2.255,1,26.7,35.9,1.04,53.16,153.17,1.34,0.22,0.71,4.35
0.846,1,17.4,42.7,2.12,61.77,258.23,2.45,0.175,0.3,2.88
1.253,1,20.9,41.0,4.76,51.87,173.5,1.96,0.142,0.44,3.51
2.931,1,81.9,123.7,5.89,48.55,42.37,1.51,0.161,6.71,8.85
2.586,1,69.1,88.4,2.36,74.32,65.33,1.28,0.012,4.77,6.49
1.751,1,49.5,96.9,5.69,20.01,23.3,1.96,0.0,2.45,1.65
2.751,1,68.1,102.2,4.99,69.05,80.5,1.5,0.244,4.64,9.66
1.355,1,78.0,136.1,5.13,58.55,58.02,1.74,0.224,6.08,4.62
1.19,1,59.1,146.5,5.66,4.41,4.4,2.48,0.0,3.49,0.25
2.397,1,83.6,116.9,3.28,67.42,61.28,1.4,0.21,6.99,7.47
2.099,1,55.8,84.6,3.61,55.42,79.65,1.52,0.252,3.11,4.88
2.474,1,24.4,42.6,0.55,20.49,63.65,1.75,0.208,0.6,2.1
1.018,1,46.1,102.3,1.62,44.85,73.93,2.22,0.21,2.13,1.61
1.214,1,42.0,92.3,3.55,1.41,2.58,2.2,0.219,1.76,0.06
2.441,1,28.2,68.8,2.52,26.83,55.63,2.44,0.0,0.8,3.14
2.729,1,99.7,161.1,2.97,58.04,46.91,1.62,0.255,9.94,10.22
1.661,1,47.1,97.7,0.52,49.95,68.58,2.07,0.072,2.22,2.6
1.005,1,62.9,111.5,4.03,6.12,6.95,1.77,0.16,3.96,0.27
2.033,1,64.3,131.6,4.93,22.32,27.34,2.05,0.238,4.13,2.18
0.97,1,15.3,24.0,4.82,56.91,288.86,1.57,0.227,0.23,3.88
1.768,1,23.3,36.3,2.89,8.0,20.81,1.56,0.01,0.54,0.71
2.418,1,99.9,240.4,4.03,34.28,25.08,2.41,0.179,9.98,6.62
1.06,1,46.9,106.7,2.61,46.18,70.53,2.28,0.162,2.2,1.75
1.597,1,40.1,45.6,0.63,66.7,103.45,1.14,0.035,1.61,2.95
1.457,1,94.7,138.5,2.86,69.95,58.54,1.46,0.243,8.97,5.8
2.566,1,51.2,90.9,1.23,7.37,10.92,1.78,0.209,2.62,0.6
1.761,1,75.7,164.4,1.37,49.21,37.74,2.17,0.0,5.73,3.58
2.245,1,96.1,115.0,0.81,23.29,14.99,1.2,0.03,9.24,2.3
2.794,1,32.5,48.1,4.68,36.53,86.89,1.48,0.224,1.06,5.31
1.873,1,13.0,15.4,5.49,12.0,64.59,1.18,0.143,0.17,1.58
1.564,1,91.0,102.9,4.15,77.11,60.0,1.13,0.153,8.28,9.11
0.915,1,47.7,69.8,4.52,78.52,101.56,1.46,0.027,2.28,3.29
1.236,1,60.9,106.5,5.85,49.07,51.96,1.75,0.07,3.71,2.79
1.133,1,30.3,44.0,5.18,45.34,104.3,1.45,0.139,0.92,2.82
2.692,1,75.1,89.7,4.39,43.94,33.03,1.19,0.0,5.64,5.88
1.866,1,24.9,60.4,5.17,53.85,146.78,2.43,0.116,0.62,6.42
2.232,1,59.1,70.2,3.32,64.71,74.21,1.19,0.115,3.49,4.95
2.53,1,28.1,41.1,1.41,27.09,73.95,1.46,0.218,0.79,2.81
1.251,1,89.0,207.5,5.29,19.86,15.07,2.33,0.112,7.92,1.65
2.498,1,12.4,14.8,3.05,72.83,412.08,1.19,0.145,0.15,10.39
1.032,1,69.1,155.5,2.59,62.27,74.74,2.25,0.277,4.77,2.3
1.951,1,35.8,79.1,3.68,51.13,111.31,2.21,0.23,1.28,5.43
2.813,1,58.0,76.6,4.33,63.67,69.71,1.32,0.055,3.36,8.34
2.794,1,34.9,86.4,1.27,16.96,28.93,2.48,0.0,1.22,2.24
2.239,1,23.7,40.7,3.88,7.59,25.77,1.72,0.254,0.56,1.0
1.911,1,97.0,163.4,5.91,53.77,40.49,1.68,0.179,9.41,7.89
2.74,1,48.5,64.4,0.57,45.22,65.1,1.33,0.141,2.35,3.62
2.759,1,17.1,36.3,1.53,68.8,316.13,2.12,0.236,0.29,9.87
2.363,1,38.3,67.4,5.02,37.28,63.01,1.76,0.073,1.47,5.38
2.622,1,40.2,54.0,4.42,66.25,93.97,1.34,0.0,1.62,7.06
1.112,1,41.3,71.5,4.62,52.44,92.22,1.73,0.174,1.71,2.56
2.651,1,52.4,129.5,3.99,10.97,15.55,2.47,0.192,2.75,1.26
2.31,1,16.3,21.9,5.21,18.95,91.97,1.34,0.242,0.27,2.95
2.214,1,72.5,131.8,2.18,17.8,13.5,1.82,0.0,5.26,1.57
2.237,1,94.4,219.0,4.71,63.29,49.58,2.32,0.189,8.91,10.55
2.796,1,70.4,132.7,1.11,36.32,34.98,1.88,0.115,4.96,4.07
2.003,1,44.2,109.1,1.11,34.38,42.98,2.47,0.0,1.95,2.38
2.82,1,35.2,81.0,2.11,72.95,158.79,2.3,0.217,1.24,10.47
0.84,1,96.7,204.7,2.18,66.52,42.96,2.12,0.039,9.35,3.65
1.048,1,73.3,136.1,1.03,20.11,14.92,1.86,0.0,5.37,0.76
1.463,1,63.9,96.9,2.15,59.71,51.81,1.52,0.0,4.08,3.32
2.675,1,70.1,135.3,5.41,15.64,12.58,1.93,0.0,4.91,2.29
2.548,1,13.1,25.1,5.97,68.6,364.7,1.92,0.138,0.17,12.41
2.629,1,63.9,80.6,1.02,72.86,84.46,1.26,0.19,4.08,6.08
2.734,1,61.5,112.2,2.87,26.04,28.38,1.82,0.105,3.78,2.92
2.124,1,90.3,155.4,3.84,50.87,40.42,1.72,0.164,8.15,7.88
1.322,1,56.1,69.9,2.61,39.53,51.84,1.25,0.184,3.15,2.07
2.121,1,76.9,139.1,3.99,6.6,5.29,1.81,0.027,5.91,0.69
1.839,1,14.1,18.3,2.02,77.75,352.58,1.3,0.062,0.2,7.3
1.231,1,65.0,97.0,1.64,41.81,34.84,1.49,0.0,4.22,1.48
1.282,1,13.3,16.6,2.36,64.4,344.57,1.25,0.157,0.18,4.4
1.446,1,93.9,155.5,0.98,49.75,30.42,1.66,0.0,8.82,3.45
